,dialogueID,date,from,to,text
10621,355.tsv,2008-12-25T14:04:00.000Z,Canaen,,My Wireless is disabled. How would I enable it?
10622,355.tsv,2008-12-25T14:04:00.000Z,hyperb0lix,Canaen,Can you right-click the NetworkManager applet and reenable wireless?
10623,355.tsv,2008-12-25T14:05:00.000Z,hyperb0lix,Canaen,:O I hope your wireless module(s) is/are loaded
10624,355.tsv,2008-12-25T14:06:00.000Z,hyperb0lix,Canaen,Make sure the wifi interface is up with ifconfig?
10625,355.tsv,2008-12-25T14:06:00.000Z,hyperb0lix,Canaen,Just run ifconfig from the command line and list the interfaces you find
10626,355.tsv,2008-12-25T14:06:00.000Z,hyperb0lix,Canaen,Should be the rightmost column
10627,355.tsv,2008-12-25T14:08:00.000Z,hyperb0lix,Canaen,lo is for loopback; one of the Ethernet ones might actually be your wireless
10628,355.tsv,2008-12-25T14:08:00.000Z,hyperb0lix,Canaen,eth1?
10629,355.tsv,2008-12-25T14:09:00.000Z,hyperb0lix,Canaen,Can you just run iwconfig now?
10630,355.tsv,2008-12-25T14:09:00.000Z,hyperb0lix,Canaen,"Err, is wireless *gone*? Or is it simply not working?"
10631,355.tsv,2008-12-25T14:10:00.000Z,hyperb0lix,Canaen,"Yep, your wireless is there"
10632,355.tsv,2008-12-25T14:11:00.000Z,hyperb0lix,Canaen,Yet NetworkManager is graying out your wireless?
10633,355.tsv,2008-12-25T14:11:00.000Z,hyperb0lix,Canaen,You could try a reboot first... or you could manually associate/authenticate with an access point
10634,355.tsv,2008-12-25T14:11:00.000Z,hyperb0lix,Canaen,"We've already established that your wireless interface is there and up, so there shouldn't be a problem associating"
10635,355.tsv,2008-12-25T14:12:00.000Z,hyperb0lix,Canaen,It'
10636,355.tsv,2008-12-25T14:12:00.000Z,hyperb0lix,Canaen,It's a little dirty... iwlist eth1 scan... iwconfig eth1 essid ESSID or iwconfig eth1 ap BSSID...
10637,355.tsv,2008-12-25T14:13:00.000Z,hyperb0lix,Canaen,Then you can use wpa_supplicant (eww) if it's WPA... or just go ahead and use dhclient/dhcpcd
10638,355.tsv,2008-12-25T14:13:00.000Z,hyperb0lix,Canaen,Or you can try a reboot first :)
10639,355.tsv,2008-12-25T14:13:00.000Z,hyperb0lix,Canaen,":O It's not in monitor mode, I hope"
10640,355.tsv,2008-12-25T14:14:00.000Z,hyperb0lix,Canaen,I would suggest a reboot unless you don't have time and/or don't want to mess with the commands (they can get dirty)
10641,355.tsv,2008-12-25T14:16:00.000Z,hyperb0lix,Canaen,Okay
10642,355.tsv,2008-12-25T14:20:00.000Z,hyperb0lix,Canaen,How'd it go?
10643,355.tsv,2008-12-25T14:20:00.000Z,hyperb0lix,Canaen,What wireless driver are you using?
10644,355.tsv,2008-12-25T14:22:00.000Z,hyperb0lix,Canaen,And your card is fully compatible with STA?
10645,355.tsv,2008-12-25T14:25:00.000Z,hyperb0lix,Canaen,"Hmm, I don't have much experience with Broadcom drivers: I try to avoid Broadcom like the plague"
10646,355.tsv,2008-12-25T14:26:00.000Z,hyperb0lix,Canaen,Could you pastebin the output of ifconfig and iwconfig?
10647,355.tsv,2008-12-25T14:26:00.000Z,hyperb0lix,Canaen,NO!
10648,355.tsv,2008-12-25T14:27:00.000Z,hyperb0lix,Canaen,:-X!!
10649,355.tsv,2008-12-25T14:27:00.000Z,hyperb0lix,Canaen,Pastebin
10650,355.tsv,2008-12-25T14:27:00.000Z,hyperb0lix,Canaen,http://pastebin.ca
10651,355.tsv,2008-12-25T14:28:00.000Z,hyperb0lix,Canaen,Thanks
10652,355.tsv,2008-12-25T14:29:00.000Z,hyperb0lix,Canaen,"Damn, so you can't scan for anything? sudo iwlist eth1 scan?"
10653,355.tsv,2008-12-25T14:29:00.000Z,hyperb0lix,Canaen,That's one of the most important things...
10654,355.tsv,2008-12-25T14:30:00.000Z,hyperb0lix,Canaen,"Gah, what was the result again?"
10655,355.tsv,2008-12-25T14:31:00.000Z,hyperb0lix,Canaen,iwlist shouldn't have the same output as iwconfig
10656,355.tsv,2008-12-25T14:33:00.000Z,hyperb0lix,Canaen,http://paste.ubuntu.com/92687/
10657,355.tsv,2008-12-25T14:35:00.000Z,hyperb0lix,Canaen,"Sorry, one sec"
10658,355.tsv,2008-12-25T14:36:00.000Z,hyperb0lix,Canaen,Could you do 'lsmod | grep b43'
10659,355.tsv,2008-12-25T14:36:00.000Z,hyperb0lix,Canaen,"Also, could you resend the pastebin link; I accidentally disconnected"
10660,355.tsv,2008-12-25T14:38:00.000Z,hyperb0lix,Canaen,"If it's >, just Ctrl+C it"
10661,355.tsv,2008-12-25T14:38:00.000Z,hyperb0lix,Canaen,The whole command is 'lsmod | grep b43'
10662,355.tsv,2008-12-25T14:38:00.000Z,hyperb0lix,Canaen,| is just a pipe
10663,355.tsv,2008-12-25T14:39:00.000Z,hyperb0lix,Canaen,"If there is no result, then b43 isn't loaded, which is good"
10664,355.tsv,2008-12-25T14:40:00.000Z,hyperb0lix,Canaen,"Blast, that makes no sense! The module is loaded, the interface is up, it is listed with iwconfig, yet you can't scan anything"
10665,355.tsv,2008-12-25T14:40:00.000Z,hyperb0lix,Canaen,I'm going to google around; see if others can help you in the meantime
10666,355.tsv,2008-12-25T14:41:00.000Z,hyperb0lix,Canaen,"Yeah, shouldn't have any difference when you're on the command line"
10667,355.tsv,2008-12-25T14:44:00.000Z,hyperb0lix,Canaen,What card is this again?
10668,355.tsv,2008-12-25T14:46:00.000Z,hyperb0lix,Canaen,You used the driver given to you by Ubuntu's restricted drivers utility?
10669,355.tsv,2008-12-25T14:48:00.000Z,hyperb0lix,Canaen,And it suddenly stops working?
10670,355.tsv,2008-12-25T14:48:00.000Z,hyperb0lix,Canaen,"If it's source, you can try recompiling and reinstalling"
10671,355.tsv,2008-12-25T14:49:00.000Z,hyperb0lix,Canaen,"Well, you could try reinstalling it through the same Ubuntu utility"
10672,355.tsv,2008-12-25T14:49:00.000Z,hyperb0lix,Canaen,Unchecking and rechecking it should work
10673,355.tsv,2008-12-25T14:52:00.000Z,hyperb0lix,Canaen,Anything?
10674,355.tsv,2008-12-25T14:53:00.000Z,hyperb0lix,Canaen,Bah
10675,355.tsv,2008-12-25T14:54:00.000Z,hyperb0lix,Canaen,I've found some links; they may or may not help
10676,355.tsv,2008-12-25T14:54:00.000Z,hyperb0lix,Canaen,http://ubuntuforums.org/showthread.php?t=959451
10677,355.tsv,2008-12-25T14:57:00.000Z,hyperb0lix,Canaen,Glad to help... sorry I couldn't solve it
10678,355.tsv,2008-12-25T14:58:00.000Z,hyperb0lix,Canaen,Thanks :)
10679,355.tsv,2008-12-25T15:10:00.000Z,hyperb0lix,Canaen,Did you try Broadcom's site?
10680,355.tsv,2008-12-25T15:11:00.000Z,hyperb0lix,Canaen,"That's fine, we all had to start somewhere :)"
100015,12077.tsv,2005-01-01T13:08:00.000Z,anir,,hope we will get something better linux in the near future which will solve the problems... but till then..
100016,12077.tsv,2005-01-01T13:09:00.000Z,anir,,now Window is coming with LongHorn... its great..
100017,12077.tsv,2005-01-01T13:10:00.000Z,anir,,i have just tried transformation package in XP pro... looks great.. feels great.. and most of all  easy to handle.. and i found it very very stable
100018,12077.tsv,2005-01-01T13:10:00.000Z,anir,,now the ball is in your court LINUX..
100019,12077.tsv,2005-01-01T13:11:00.000Z,anir,,what happened guys.. say something
100020,12077.tsv,2005-01-01T13:13:00.000Z,anir,,guys its nothing about inferrior platform.. tell me why till date more people use windows??
100021,12077.tsv,2005-01-01T13:14:00.000Z,anir,,i am not against linux.. i want to use it and i want it to be better..
100022,12077.tsv,2005-01-01T13:14:00.000Z,anir,,now why dont you listen
100023,12077.tsv,2005-01-01T13:15:00.000Z,anir,,sorry guys...
100024,12077.tsv,2005-01-01T13:15:00.000Z,anir,,i loved ubuntu.. and did not want to leave it.. thats why i hope that it gives me more..
100025,12077.tsv,2005-01-01T13:15:00.000Z,|QuaD-,anir,what did you leave it for?
100026,12077.tsv,2005-01-01T13:16:00.000Z,|QuaD-,anir,want me to help you figure out alternative linux progs?
100027,12077.tsv,2005-01-01T13:18:00.000Z,|QuaD-,anir,what programs do you need?
100028,12077.tsv,2005-01-01T13:19:00.000Z,|QuaD-,anir,"thats the only thing we really can't help you with, unless you like ut2k4 or doom3 :)"
100029,12077.tsv,2005-01-01T13:25:00.000Z,|QuaD-,anir,"games that you would want to play are usuall closed source, so it is more up to the developers"
100030,12077.tsv,2005-01-01T13:29:00.000Z,|QuaD-,anir,"as much as linux distros deviate, many factors stay the same for compatibility reasons"
100031,12077.tsv,2005-01-01T13:31:00.000Z,|QuaD-,anir,your point?
100032,12077.tsv,2005-01-01T13:33:00.000Z,|QuaD-,anir,"people like what they are used to, whats your point. The university i work at (4th largest private institution in the USA) supports linux"
100033,12077.tsv,2005-01-01T13:34:00.000Z,|QuaD-,anir,go to ubuntu-offtopic for this
100034,12077.tsv,2005-01-02T11:44:00.000Z,|QuaD-,anir,"just fine, and you? i thouhgt you are done with linux"
144535,355.tsv,2012-10-11T07:28:00.000Z,Baralabite,,"Hey, anyone know what a port scanning command is?"
144536,355.tsv,2012-10-11T07:28:00.000Z,Baralabite,,"Say I want to scan for open ports on another computer on my network, can it be done from console?"
144537,355.tsv,2012-10-11T07:29:00.000Z,Baralabite,,Command not found... apt-get?
144538,355.tsv,2012-10-11T07:29:00.000Z,Baralabite,,Apt-get doesn't work either
144539,355.tsv,2012-10-11T07:29:00.000Z,Baralabite,,"Like, it fails on apt-get"
144540,355.tsv,2012-10-11T07:31:00.000Z,Baralabite,,"No goddard, sorry"
144541,355.tsv,2012-10-11T07:31:00.000Z,L3top,Baralabite,sudo apt-get install nmap... when you say things fail...
144542,355.tsv,2012-10-11T07:31:00.000Z,Baralabite,,"kk, thanks gr33n7007n"
144543,355.tsv,2012-10-11T07:31:00.000Z,Baralabite,,404 Forbidden L3top
144544,355.tsv,2012-10-11T07:31:00.000Z,Baralabite,,*403 Forbidden
144545,355.tsv,2012-10-11T07:32:00.000Z,Baralabite,somsip,- I'm sure that's wrong...
144546,355.tsv,2012-10-11T07:32:00.000Z,Baralabite,,'apt get'?
144547,355.tsv,2012-10-11T07:32:00.000Z,Baralabite,,It's apt-get
144548,355.tsv,2012-10-11T07:33:00.000Z,L3top,Baralabite,404? Have you done something to your sources.list?
144549,355.tsv,2012-10-11T07:33:00.000Z,Baralabite,,403 Forbidden
144550,355.tsv,2012-10-11T07:33:00.000Z,Baralabite,,'twas a typo
144551,355.tsv,2012-10-11T07:33:00.000Z,L3top,,typo
144552,355.tsv,2012-10-11T07:34:00.000Z,Baralabite,,"Yup, still getting '403, Forbidden' on 'sudo apt-get install nmap'"
144553,355.tsv,2012-10-11T07:35:00.000Z,Baralabite,,I'll try doing a manual install
144554,355.tsv,2012-10-11T07:35:00.000Z,L3top,Baralabite,wait... something else is wrong... sudo apt-get update
152115,12317.tsv,2004-11-04T12:14:00.000Z,neuro_,,Warning: filesystem does not support multi-terabyte files such as you have just saved
152116,12317.tsv,2004-11-04T12:15:00.000Z,neuro_,,i was about to suggest umount /home && mke2fs /home
152117,12317.tsv,2004-11-04T12:16:00.000Z,neuro_,,"it wouldn't have worked, but it would have been amusing"
152118,12317.tsv,2004-11-04T12:17:00.000Z,neuro_,,even tho his head is in the wrong place?
152119,12317.tsv,2004-11-04T12:17:00.000Z,neuro_,,however i have to suggest tolerance of those not 'in the know'
152120,12317.tsv,2004-11-04T12:18:00.000Z,neuro_,,and agree with bob2
152121,12317.tsv,2004-11-04T12:18:00.000Z,neuro_,,"all it takes is for one 'noob' to come here asking for advice in the wrong way, for them to get brushed off with a dodgy command or three, and it shows up on /. a cpl days later"
152122,12317.tsv,2004-11-04T12:20:00.000Z,neuro_,,yeah but pissing them off won't help matters
152123,12317.tsv,2004-11-04T12:20:00.000Z,neuro_,,"believe me, i've seen the end results"
152124,12317.tsv,2004-11-04T12:20:00.000Z,neuro_,,"i've been a part of the smoothwall project for nearly 4 yrs now, and if you know anything of the project history, you'll know what insulting/patronising users can do, no matter how much or little they know"
152125,12317.tsv,2004-11-04T12:21:00.000Z,ygnome,neuro_,"yes, but Dick started it!"
152126,12317.tsv,2004-11-04T12:21:00.000Z,neuro_,ygnome,true dat :)
152127,12317.tsv,2004-11-04T12:22:00.000Z,neuro_,ygnome,he's really not
152128,12317.tsv,2004-11-04T12:24:00.000Z,ygnome,neuro_,"ah. don't get the list, too much incoming as it is..."
152129,12317.tsv,2004-11-04T12:25:00.000Z,neuro_,ygnome,"on behalf of every other member of the team, apols for that"
